,index,Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Season,Match
265,25,League,Rahul Tewatia,Dubai (DICS),SRH,RR,Sunrisers Hyderabad,bat,RR,5,wicket,158,2020,"['26th', 'Match,']"
266,26,League,Quinton de Kock,Abu Dhabi,DC,MI,Delhi Capitals,bat,MI,5,wicket,162,2020,"['27th', 'Match']"
267,27,League,AB de Villiers,Sharjah,RCB,KKR,Royal Challengers Bangalore,bat,RCB,82,runs,194,2020,"['28th', 'Match']"
268,28,League,Ravindra Jadeja,Dubai (DICS),CSK,SRH,Chennai Super Kings,bat,CSK,20,runs,167,2020,"['29th', 'Match']"
269,29,League,Anrich Nortje,Dubai (DICS),DC,RR,Delhi Capitals,bat,DC,13,runs,161,2020,"['30th', 'Match']"
270,30,League,KL Rahul,Sharjah,RCB,KXIP,Royal Challengers Bangalore,bat,Kings,8,wicket,171,2020,"['31st', 'Match']"
271,31,League,Quinton de Kock,Abu Dhabi,KKR,MI,Kolkata Knight Riders,bat,MI,8,wicket,148,2020,"['32nd', 'Match']"
272,32,League,AB de Villiers,Dubai (DICS),RR,RCB,Rajasthan Royals,bat,RCB,7,wicket,177,2020,"['33rd', 'Match,']"
273,33,League,Shikhar Dhawan,Sharjah,CSK,DC,Chennai Super Kings,bat,DC,5,wicket,179,2020,"['34th', 'Match']"
274,34,League,Lockie Ferguson,Abu Dhabi,KKR,SRH,Sunrisers Hyderabad,field,Match,,runs,,2020,"['35th', 'Match,']"
275,35,League,KL Rahul,Dubai (DICS),MI,KXIP,Mumbai Indians,bat,Match,2,runs,176,2020,"['36th', 'Match']"
276,36,League,Jos Buttler,Abu Dhabi,CSK,RR,Chennai Super Kings,bat,RR,7,wicket,125,2020,"['37th', 'Match']"
277,37,League,Shikhar Dhawan,Dubai (DICS),DC,KXIP,Delhi Capitals,bat,Kings,5,wicket,164,2020,"['38th', 'Match']"
278,38,League,Mohammed Siraj,Abu Dhabi,KKR,RCB,Kolkata Knight Riders,bat,RCB,8,wicket,84,2020,"['39th', 'Match']"
279,39,League,Manish Pandey,Dubai (DICS),RR,SRH,Sunrisers Hyderabad,field,SRH,8,wicket,154,2020,"['40th', 'Match']"
280,40,League,Trent Boult,Sharjah,CSK,MI,Mumbai Indians,field,MI,10,wicket,114,2020,"['41st', 'Match']"
281,41,League,Varun Chakravarthy,Abu Dhabi,KKR,DC,Delhi Capitals,field,KKR,59,runs,194,2020,"['42nd', 'Match,']"
282,42,League,Chris Jordan,Dubai (DICS),KXIP,SRH,Sunrisers Hyderabad,field,Kings,12,runs,126,2020,"['43rd', 'Match']"
283,43,League,Ruturaj Gaikwad,Dubai (DICS),RCB,CSK,Royal Challengers Bangalore,bat,CSK,8,wicket,145,2020,"['44th', 'Match,']"
284,44,League,Ben Stokes,Abu Dhabi,MI,RR,Mumbai Indians,bat,RR,8,wicket,195,2020,"['45th', 'Match']"
285,45,League,Chris Gayle,Sharjah,KKR,KXIP,Kings XI Punjab,field,Kings,8,wicket,149,2020,"['46th', 'Match']"
286,46,League,Wriddhiman Saha,Dubai (DICS),SRH,DC,Delhi Capitals,field,SRH,88,runs,219,2020,"['47th', 'Match']"
287,47,League,Suryakumar Yadav,Abu Dhabi,RCB,MI,Mumbai Indians,field,MI,5,wicket,164,2020,"['48th', 'Match']"
288,48,League,Ruturaj Gaikwad,Dubai (DICS),KKR,CSK,Chennai Super Kings,field,CSK,6,wicket,172,2020,"['49th', 'Match']"
289,49,League,Ben Stokes,Abu Dhabi,KXIP,RR,Rajasthan Royals,field,RR,7,wicket,185,2020,"['50th', 'Match']"
290,50,League,Ishan Kishan,Dubai (DICS),DC,MI,Mumbai Indians,field,MI,9,wicket,110,2020,"['51st', 'Match,']"
291,51,League,Sandeep Sharma,Sharjah,RCB,SRH,Sunrisers Hyderabad,field,SRH,5,wicket,120,2020,"['52nd', 'Match']"
292,52,League,Ruturaj Gaikwad,Abu Dhabi,KXIP,CSK,Chennai Super Kings,field,CSK,9,wicket,153,2020,"['53rd', 'Match,']"
293,53,League,Pat Cummins,Dubai (DICS),KKR,RR,Rajasthan Royals,field,KKR,60,runs,191,2020,"['54th', 'Match']"
294,54,League,Anrich Nortje,Abu Dhabi,RCB,DC,Delhi Capitals,field,DC,6,wicket,152,2020,"['55th', 'Match']"
295,55,League,Shahbaz Nadeem,Sharjah,MI,SRH,Sunrisers Hyderabad,field,SRH,10,wicket,149,2020,"['56th', 'Match']"
296,56,Qualifier 1,Jasprit Bumrah,Dubai (DICS),MI,DC,Delhi Capitals,field,MI,57,runs,200,2020,Qualifier 1
297,57,Eliminator,Kane Williamson,Abu Dhabi,RCB,SRH,Sunrisers Hyderabad,field,SRH,6,wicket,131,2020,Eliminator
298,58,Qualifier 2,Marcus Stoinis,Abu Dhabi,DC,SRH,Delhi Capitals,bat,DC,17,runs,189,2020,Qualifier 2
299,59,Final,Trent Boult,Dubai (DICS),DC,MI,Delhi Capitals,bat,MI,5,wicket,156,2020,Final
